"","1","2","3","4","5","6","ID","city","buffer","7","8","total","grey","green","blue"
"60",228,16,1,0,178,0,"GE_AlHH1","GE","Buffer100",0,0,423,228,195,0
"61",288,210,360,26,669,6,"GE_GaLH1","GE","Buffer200",0,0,1559,294,1265,0
"62",360,47,846,8,606,0,"GE_RuLx3","GE","Buffer200",0,0,1867,360,1507,0
"63",1239,97,894,10,695,8,"GE_PaLH1","GE","Buffer200",0,0,2943,1247,1696,0
"64",1089,36,452,4,327,0,"GE_EsHL1","GE","Buffer200",0,0,1908,1089,819,0
"65",556,47,196,10,791,0,"GE_RuLx1","GE","Buffer200",0,0,1600,556,1044,0
"66",1996,24,1803,6,1162,8,"GE_PaHL1","GE","Buffer200",0,0,4999,2004,2995,0
"67",2206,14,709,0,250,2,"GE_PaHH1","GE","Buffer200",0,0,3181,2208,973,0
"68",381,45,845,2,525,3,"GE_GaLH2","GE","Buffer200",0,0,1801,384,1417,0
"69",847,33,473,2,445,3,"GE_RuHx1","GE","Buffer200",0,0,1803,850,953,0
"70",821,31,630,5,650,3,"GE_PaLH3","GE","Buffer200",4,0,2144,824,1316,4
"71",911,188,594,3,606,2,"GE_PaLL2","GE","Buffer200",0,0,2304,913,1391,0
"72",555,86,560,10,876,3,"GE_EsLL1","GE","Buffer200",0,0,2090,558,1532,0
"73",175,240,449,17,648,0,"GE_GaLH3","GE","Buffer200",0,0,1529,175,1354,0
"74",1654,19,454,0,24,6,"GE_PaHL3","GE","Buffer200",982,0,3139,1660,497,982
"75",1286,2,269,0,54,4,"GE_EsHL2","GE","Buffer200",216,0,1831,1290,325,216
"76",916,0,493,0,86,1,"GE_GaHL2","GE","Buffer200",25,0,1521,917,579,25
"77",1546,10,270,0,45,0,"GE_EsHL3","GE","Buffer200",0,0,1871,1546,325,0
"78",1014,19,304,1,191,1,"GE_RuHx2","GE","Buffer200",0,0,1530,1015,515,0
"79",1202,84,49,0,271,4,"GE_GaHL3","GE","Buffer200",0,0,1610,1206,404,0
"80",473,66,742,24,1600,3,"GE_EsLL3","GE","Buffer200",151,0,3059,476,2432,151
"81",1127,42,388,8,223,2,"Ge_RuHx5","GE","Buffer200",0,0,1790,1129,661,0
"82",1270,97,284,27,856,4,"GE_PaLL3","GE","Buffer200",0,0,2538,1274,1264,0
"83",816,14,521,2,210,1,"GE_GaHH2","GE","Buffer200",0,0,1564,817,747,0
"84",1931,6,124,0,68,0,"GE_PaHL2","GE","Buffer200",4,0,2133,1931,198,4
"85",2640,61,912,12,1041,18,"GE_PaHH2","GE","Buffer200",0,0,4684,2658,2026,0
"86",578,165,544,11,840,0,"GE_EsLH3","GE","Buffer200",0,0,2138,578,1560,0
"87",1682,13,653,6,287,0,"GE_EsHH3","GE","Buffer200",0,0,2641,1682,959,0
"88",774,84,703,36,690,11,"GE_EsLH2","GE","Buffer200",0,0,2298,785,1513,0
"89",1231,92,343,10,742,2,"GE_EsLL2","GE","Buffer200",0,0,2420,1233,1187,0
"90",1236,423,459,4,828,6,"GE_PaLH2","GE","Buffer200",0,0,2956,1242,1714,0
"91",691,32,542,6,434,3,"GE_EsHH1","GE","Buffer200",0,0,1708,694,1014,0
"92",523,21,587,9,502,0,"GE_GaLL1","GE","Buffer200",0,0,1642,523,1119,0
"93",543,38,537,17,458,0,"GE_GaLL3","GE","Buffer200",0,0,1593,543,1050,0
"94",1122,28,785,6,222,7,"GE_RuHx6","GE","Buffer200",12,0,2182,1129,1041,12
"95",578,146,475,3,508,6,"GE_RuLx6","GE","Buffer200",0,0,1716,584,1132,0
"96",973,122,78,9,570,33,"GE_RuHx3","GE","Buffer200",1,0,1786,1006,779,1
"97",900,103,1700,44,1508,1,"GE_PaLL1","GE","Buffer200",0,0,4256,901,3355,0
"98",1039,5,518,1,252,0,"GE_EsHH2","GE","Buffer200",0,0,1815,1039,776,0
"99",949,8,1224,0,110,0,"GE_PaHH3","GE","Buffer200",0,0,2291,949,1342,0
"100",1157,8,367,0,56,2,"GE_GaHH3","GE","Buffer200",0,0,1590,1159,431,0
"101",433,602,802,0,679,38,"GE_RuLx5","GE","Buffer200",0,0,2554,471,2083,0
"102",425,29,1163,9,542,0,"GE_RuLx4","GE","Buffer200",123,0,2291,425,1743,123
"103",403,711,166,9,432,5,"GE_RuLx2","GE","Buffer200",0,0,1726,408,1318,0
"104",864,49,417,2,420,5,"GE_EsLH1","GE","Buffer200",263,0,2020,869,888,263
"105",1127,11,502,0,114,9,"GE_RuHx4","GE","Buffer200",0,0,1763,1136,627,0
"106",292,56,202,8,1038,0,"GE_GaLL2","GE","Buffer200",0,0,1596,292,1304,0
"107",1001,8,394,0,229,0,"GE_GaHL1","GE","Buffer200",0,0,1632,1001,631,0
"108",857,33,365,0,353,4,"GE_GaHH1","GE","Buffer200",0,0,1612,861,751,0
"109",490,48,182,4,713,1,"GE_AlHH2","GE","Buffer200",0,0,1438,491,947,0
"110",519,58,168,4,704,1,"GE_AlHL2","GE","Buffer200",0,0,1454,520,934,0
"111",239,211,249,5,746,10,"GE_AlHH3","GE","Buffer200",0,0,1460,249,1211,0
"112",953,34,204,3,278,0,"GE_AlHL1","GE","Buffer200",0,0,1472,953,519,0
"113",638,37,326,4,470,8,"GE_AlHL3","GE","Buffer200",0,0,1483,646,837,0
"114",640,286,68,6,433,8,"GE_AlLL2","GE","Buffer200",0,0,1441,648,793,0
"115",333,285,270,14,512,6,"GE_AlLL3","GE","Buffer200",0,0,1420,339,1081,0
"116",361,245,307,15,502,6,"GE_AlLH3","GE","Buffer200",0,0,1436,367,1069,0
"117",341,657,74,7,363,3,"GE_AlLH2","GE","Buffer200",0,0,1445,344,1101,0
"118",466,69,425,27,438,10,"GE_AlLL1","GE","Buffer200",0,0,1435,476,959,0
"119",359,68,534,23,495,0,"GE_AlLH1","GE","Buffer200",0,0,1479,359,1120,0
"120",875,37,264,2,296,0,"GE_AlHH1","GE","Buffer200",0,0,1474,875,599,0
"121",758,1622,816,40,2363,23,"GE_GaLH1","GE","Buffer400",0,0,5622,781,4841,0
